2144,501
2731,500
3324,500
1872,696
2158,700
2445,697
2730,698
3056,698
3307,696
3661,696
2172,884
2729,884
3291,884
1914,1056
2186,1060
2457,1060
2728,1058
3001,1058
3277,1060
3558,1061
2197,1226
2729,1226
3265,1227
1952,1380
2212,1383
2470,1386
2730,1387
2990,1385
3253,1386
3518,1384
2223,1534
2729,1540
3241,1539
2221,1682
2726,1687
3239,1695
1932,1782
2197,1786
2460,1788
2722,1791
2985,1795
3252,1800
3522,1799
2173,1896
2718,1906
3269,1912
1864,2016
2148,2015
2431,2020
2713,2027
2998,2031
3286,2033
3578,2040
2122,2144
2710,2151
3306,2166
1782,2277
2092,2286
2398,2291
2706,2297
3013,2300
3327,2308
3646,2314
2059,2436
2700,2448
3350,2466
